long,lat,year,TimePeriod,RCP,scenario,treecanopy,Ann_Herb,Bare,Herb,Litter,Shrub,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,PPT_Annual,T_Winter,T_Summer,T_Annual,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.0472,37.60413,2023,NT,4.5,sc36,0,0,84,5,11,7,0,3.800013912,35.403,66,0.234845644,10.35,8.69,10.35,1.692389,24.42717,1.692389,36.15,-11.96,0.133440228,0.098713198,0.046265451,0.11243225
-110.0472,37.60413,2023,NT,4.5,sc37,0,0,84,5,11,7,0,1.47078159,38.613,60,1.61E-08,6.03,1.63,14.56,2.823667,26.2887,13.34846,39.55,-10.05,0.08319126,0.058827994,0.041161107,0.085101818
-110.0472,37.60413,2023,NT,4.5,sc38,0,0,84,5,11,7,0,3.49469021,38.468,73,0.227372687,9.09,9.57,,0.6194444,24.70484,,40.91,-14.22,0.121524958,0.078403918,0.04648376,0.074393043
-110.0472,37.60413,2023,NT,4.5,sc39,0,0,84,5,11,7,0,4.61381789,36.435,80,0.393452791,7.2,11.85,11.85,-1.572944,25.0088,25.0088,37.27,-23.52,0.082135393,0.062756542,0.049422164,0.06611089
-110.0472,37.60413,2023,NT,4.5,sc40,0,0,84,5,11,7,0,3.488988873,33.932,80,0.000418837,6.37,5.26,,0.6012778,22.72179,,35.72,-11.47,0.092577266,0.080548961,0.041682448,0.049447716
-110.0472,37.60413,2023,NT,4.5,sc41,0,0,84,5,11,7,0,3.321892239,37.077,71,0.065623583,5.81,5.21,5.81,0.7608333,24.58522,0.7608333,40.11,-10.95,0.065338307,0.071810149,0.043421479,0.04864028
-110.0472,37.60413,2023,NT,8.5,sc42,0,0,84,5,11,7,0,5.242902266,35.907,59,0.367524023,4.29,11.87,,3.792278,23.46918,,37.34,-10.85,0.081598235,0.061470658,0.049430955,0.076443741
-110.0472,37.60413,2023,NT,8.5,sc43,0,0,84,5,11,7,0,4.132030274,37.034,67,0.447375634,6.07,10.37,,2.594722,24.46755,,37.74,-14.57,0.132115848,0.078442863,0.050822665,0.075503973
-110.0472,37.60413,2023,NT,8.5,sc44,0,0,84,5,11,7,0,3.038376234,35.932,55,0.520353737,8.45,8.61,9.8,3.509167,23.99788,12.99544,36.49,-10.82,0.111396407,0.101757049,0.05207268,0.077753087
-110.0472,37.60413,2023,NT,8.5,sc45,0,0,84,5,11,7,0,3.678139847,36.556,54,0.040141574,6.96,7.6,6.96,3.4025,25.15239,12.89363,37.72,-10.3,0.085850476,0.064747644,0.042573241,0.050880369
-110.0472,37.60413,2023,NT,8.5,sc46,0,0,84,5,11,7,0,1.882898452,36.75,85,0.042330506,4.75,4.74,4.65,1.795333,24.19543,12.13402,38.12,-12.74,0.091258996,0.06313878,0.042285357,0.100873337
-110.0472,37.60413,2023,NT,8.5,sc47,0,0,84,5,11,7,0,4.500979051,35.206,62,0.129408389,13.96,9.9,,2.4855,24.68511,,35.86,-16.73,0.099965231,0.076077092,0.044763298,0.072570428
-110.0472,37.60413,2023,NT,8.5,sc48,0,0,84,5,11,7,0,5.44568988,36.289,76,0.745672687,3.73,15.04,3.61,0.1274444,24.42163,13.27283,37.96,-19.41,0.082698369,0.05025008,0.057069634,0.070901513
-110.0472,37.60413,2023,NT,8.5,sc49,0,0,84,5,11,7,0,3.652685491,35.382,68,0.504092194,7.84,10.62,13.63,1.865611,23.75451,11.00549,35.82,-10.02,0.134814095,0.075472606,0.052163616,0.105751529
